rooms,area1,district,building_type,price,year_type,no_first_no_last,area3_bins
2.0,44.0,Автозаводский район,кирпич,4900000,старый_дом,False,1.0
2.0,32.0,Советский район,кирпич,4000000,старый_дом,False,1.0
2.0,45.0,Канавинский район,кирпич,4300000,старый_дом,True,1.0
1.0,30.8,Канавинский район,кирпич,4200000,старый_дом,True,0.0
2.0,48.0,Московский район,панель,7150000,новый_дом,True,1.0
0.8,12.7,Автозаводский район,панель,2315000,старый_дом,False,0.0
1.0,27.6,дер. Анкудиновка,панель,4330000,новый_дом,True,0.0
2.0,44.8,Нижегородский район,кирпич,6500000,старый_дом,False,1.0
3.0,59.1,Автозаводский район,панель,6150000,старый_дом,False,0.0
2.0,39.4,Сормовский район,шлакоблок,3099000,старый_дом,False,0.0
3.0,83.0,Автозаводский район,кирпич,9300000,старый_дом,True,1.0
2.0,32.0,Советский район,кирпич,4199999,старый_дом,False,0.0
2.0,47.5,Автозаводский район,панель,6990000,новый_дом,True,1.0
2.0,37.0,Автозаводский район,шлакоблок,3750000,старый_дом,False,0.0
1.0,23.4,Сормовский район,шлакоблок,2200000,старый_дом,False,0.0
2.0,44.0,Московский район,кирпич,4800000,старый_дом,True,0.0
1.0,41.0,Советский район,панель,6400000,новый_дом,True,1.0
3.0,52.0,Канавинский район,кирпич,4200000,старый_дом,False,1.0
2.0,37.0,Автозаводский район,шлакоблок,3530000,старый_дом,False,0.0
1.0,31.9,Автозаводский район,панель,4700000,новый_дом,True,1.0
1.0,30.6,Сормовский район,панель,4200000,новый_дом,True,1.0
1.0,29.2,Московский район,кирпич,4900000,старый_дом,False,1.0
1.0,20.8,Московский район,кирпич,3700000,старый_дом,True,0.0
1.0,34.6,Автозаводский район,кирпич,4000000,старый_дом,False,1.0
2.0,42.6,Ленинский район,панель,6000000,старый_дом,True,0.0
1.0,50.8,Советский район,блок+утеплитель,9200000,новый_дом,True,2.0
2.0,30.5,Канавинский район,кирпич,4600000,старый_дом,True,0.0
2.0,54.2,Автозаводский район,блок+утеплитель,8500000,новый_дом,True,1.0
1.0,32.1,Канавинский район,панель,4500000,старый_дом,False,1.0
0.8,19.0,Нижегородский район,кирпич,3850000,старый_дом,True,0.0
2.0,45.8,Автозаводский район,панель,4300000,старый_дом,True,1.0
2.0,43.1,Канавинский район,кирпич,4300000,старый_дом,True,1.0
3.0,46.6,Советский район,кирпич,4400000,старый_дом,False,1.0
1.0,36.3,Нижегородский район,блок+утеплитель,7150000,новый_дом,False,2.0
2.0,42.2,Автозаводский район,блок+утеплитель,7550000,новый_дом,True,1.0
2.0,51.0,Автозаводский район,панель,5650000,старый_дом,True,1.0
1.0,34.8,Ленинский район,панель,4950000,старый_дом,False,1.0
1.0,45.1,Сормовский район,панель,5300000,новый_дом,True,1.0
1.0,47.6,Советский район,кирпич,8500000,новый_дом,False,2.0
0.8,27.5,Автозаводский район,блок+утеплитель,4675000,новый_дом,False,0.0
3.0,66.3,Канавинский район,панель,8000000,старый_дом,True,1.0
3.0,50.7,Московский район,кирпич,5600000,старый_дом,True,1.0
3.0,57.2,Сормовский район,панель,6400000,старый_дом,True,1.0
1.0,31.8,Ленинский район,панель,3990000,старый_дом,True,0.0
2.0,45.8,Сормовский район,кирпич,5500000,старый_дом,True,0.0
0.8,25.4,Советский район,блок+утеплитель,4799000,новый_дом,True,0.0
3.0,63.0,Ленинский район,панель,7500000,старый_дом,True,1.0
3.0,54.8,Московский район,кирпич,5800000,старый_дом,False,0.0
2.0,57.4,Канавинский район,панель,6700000,новый_дом,True,1.0
0.8,29.2,Автозаводский район,блок+утеплитель,4905600,новый_дом,False,0.0
2.0,61.0,Советский район,панель,8700000,новый_дом,True,1.0
2.0,43.0,Автозаводский район,панель,6000000,старый_дом,True,1.0
2.0,43.7,Сормовский район,панель,5400000,новый_дом,True,1.0
1.0,32.0,Советский район,кирпич,3990000,старый_дом,False,0.0
1.0,33.2,Нижегородский район,панель,6300000,старый_дом,True,1.0
2.0,44.0,Московский район,кирпич,4700000,старый_дом,True,1.0
1.0,35.4,Автозаводский район,панель,4990000,старый_дом,True,1.0
2.0,49.2,Московский район,кирпич,4950000,старый_дом,True,1.0
0.8,24.72,Советский район,блок+утеплитель,5660000,новый_дом,True,0.0
3.0,52.6,Нижегородский район,панель,7650000,старый_дом,True,1.0
1.0,20.7,Московский район,кирпич,3400000,старый_дом,True,0.0
2.0,43.9,Автозаводский район,кирпич,5250000,старый_дом,True,0.0
1.0,30.8,Ленинский район,кирпич,4300000,старый_дом,True,0.0
2.0,48.2,Советский район,кирпич,7500000,старый_дом,True,1.0
0.8,20.0,Ленинский район,кирпич,2050000,старый_дом,False,0.0
2.0,45.6,Автозаводский район,кирпич,6000000,старый_дом,True,1.0
3.0,62.3,Автозаводский район,панель,5800000,старый_дом,True,1.0
3.0,65.1,Советский район,панель,6950000,старый_дом,False,1.0
1.0,31.3,Московский район,панель,3100000,старый_дом,False,0.0
2.0,38.0,Нижегородский район,панель,6000000,старый_дом,True,0.0
2.0,44.0,Нижегородский район,кирпич,5750000,старый_дом,False,0.0
1.0,45.2,Советский район,блок+утеплитель,8710000,новый_дом,True,2.0
1.0,46.3,Нижегородский район,кирпич,7250000,новый_дом,True,2.0
2.0,49.7,Сормовский район,кирпич,5890000,старый_дом,True,1.0
2.0,45.1,Автозаводский район,кирпич,4300000,старый_дом,False,1.0
2.0,46.6,Автозаводский район,панель,5300000,старый_дом,True,1.0
